user_id,username,display_name,first_name,last_name,bio,location,website,content_type,followers,following,posts_count,stories_count,reels_count,avg_likes,avg_comments,engagement_rate,verified,private,business_account,created_date,last_post_date,profile_pic_url,is_match
ig_0001,daniellejohnson99,Danielle Johnson,Danielle,Johnson,💫 Nature creator | Johnsonland based | Spreading positivity,"Karenberg, Yemen",,Nature,14370,906,942,76,17,337,99,3.54,True,False,False,2021-07-31,2025-06-01,https://example.com/profile_1.jpg,True
ig_0002,lisasmith29,Lisa Smith,Lisa,Smith,💫 Pets creator | East Susan based | Spreading positivity,"East Douglasmouth, Samoa",,Pets,29555,371,966,22,25,305,1,4.73,False,False,True,2022-02-07,2025-06-06,https://example.com/profile_2.jpg,True
ig_0003,amandadudley,Amanda Dudley,Amanda,Dudley,🎯 Beauty | Entrepreneur | Building dreams one post at a time,"Port Devinhaven, Mauritius",,Beauty,27511,890,213,81,1,643,29,1.97,True,False,True,2018-12-07,2025-06-05,https://example.com/profile_3.jpg,True
ig_0004,emiles,Elizabeth Miles,Elizabeth,Miles,✨ Music lover | Sharing my journey | DM for collabs,"Roachmouth, American Samoa",,Music,31027,1451,113,47,1,770,77,7.18,False,True,True,2024-11-04,2025-06-06,https://example.com/profile_4.jpg,True
ig_0005,carl.gentry,Carl Gentry,Carl,Gentry,✨ Music lover | Sharing my journey | DM for collabs,"Ruthview, Uzbekistan",,Music,46813,1936,224,41,8,310,9,7.26,True,False,False,2020-01-24,2025-06-01,https://example.com/profile_5.jpg,True
ig_0006,brodriguez,Brandon Rodriguez,Brandon,Rodriguez,✨ Gaming lover | Sharing my journey | DM for collabs,"Lauraborough, Jamaica",https://www.cooley.com/,Gaming,30338,1074,676,14,38,867,43,7.1,True,True,False,2023-03-30,2025-06-05,https://example.com/profile_6.jpg,True
ig_0007,jenniferstanton,Jennifer Stanton,Jennifer,Stanton,📸 Capturing life's moments | Lifestyle enthusiast | East Nathaniel,"New Wesley, Sao Tome and Principe",,Lifestyle,26730,1825,552,60,24,82,54,7.7,True,True,False,2020-11-28,2025-06-04,https://example.com/profile_7.jpg,True
ig_0008,kylebrown,Kyle Brown,Kyle,Brown,💫 Business creator | East Donna based | Spreading positivity,"New Johnfort, Syrian Arab Republic",http://ray-clay.com/,Business,47623,1624,60,46,25,743,66,5.4,False,False,True,2023-05-04,2025-06-05,https://example.com/profile_8.jpg,True
ig_0009,raymond_powers,Raymond Powers,Raymond,Powers,🎯 Technology | Entrepreneur | Building dreams one post at a time,"Port Daniel, Lao People's Democratic Republic",http://hernandez-hensley.biz/,Technology,7425,1528,193,46,26,682,44,1.99,True,False,True,2022-02-11,2025-06-02,https://example.com/profile_9.jpg,True
ig_0010,davidwalls,David Walls,David,Walls,📸 Capturing life's moments | Education enthusiast | Gomezchester,"Christophermouth, Samoa",,Education,46570,1056,790,31,48,276,44,3.07,False,False,False,2021-06-21,2025-06-06,https://example.com/profile_10.jpg,True
ig_0011,james.herrera,James Herrera,James,Herrera,🎯 Technology | Entrepreneur | Building dreams one post at a time,"Woodwardtown, Seychelles",,Technology,9276,353,554,36,1,236,48,4.94,False,False,True,2024-02-15,2025-06-03,https://example.com/profile_11.jpg,True
