user_id,username,display_name,first_name,last_name,bio,location,website,content_type,followers,following,posts_count,stories_count,reels_count,avg_likes,avg_comments,engagement_rate,verified,private,business_account,created_date,last_post_date,profile_pic_url,is_match
ig_0001,danielle_johnson,Danielle Johnson,Danielle,Johnson,✨ technology enthusiast | Seattle based | Living my best life,"Seattle, Hungary",,Technology,31353,1343,1773,31,68,930,124,2.97,False,True,False,2022-05-01,2025-05-31,https://example.com/profile_1.jpg,True
ig_0002,amy.garza,Amy Garza,Amy,Garza,📍 San Francisco | business lover | Sharing my journey,"San Francisco, Italy",,Business,10559,2004,783,12,81,323,39,3.06,False,False,False,2021-12-02,2025-06-05,https://example.com/profile_2.jpg,True
ig_0003,annabaldwin14,Anna Baldwin,Anna,Baldwin,💫 technology | Boston vibes | Creating content daily,"Boston, Bouvet Island (Bouvetoya)",http://www.garcia.info/,Technology,45742,1462,959,63,47,1058,53,2.31,False,True,True,2023-06-15,2025-06-03,https://example.com/profile_3.jpg,True
ig_0004,lindawolfe,Linda Wolfe,Linda,Wolfe,✨ technology enthusiast | San Francisco based | Living my best life,"San Francisco, Cocos (Keeling) Islands",https://johnson.com/,Technology,22593,987,1442,170,21,1358,97,6.01,False,True,False,2020-04-06,2025-05-31,https://example.com/profile_4.jpg,True
ig_0005,noah.howard,Noah Howard,Noah,Howard,💫 business | Miami vibes | Creating content daily,"Miami, Tuvalu",https://brown.com/,Business,37334,2767,438,30,29,2145,307,5.75,False,False,True,2015-07-23,2025-06-06,https://example.com/profile_5.jpg,True
ig_0006,teresa.gray,Teresa Gray,Teresa,Gray,🌟 Atlanta | Passionate about business | DM for collabs,"Atlanta, Malta",,Business,1285,1794,485,94,5,61,3,4.75,False,True,False,2023-02-09,2025-06-02,https://example.com/profile_6.jpg,True
ig_0007,chadstanley77,Chad Stanley,Chad,Stanley,📍 New York | business lover | Sharing my journey,"New York, Mongolia",,Business,7172,2396,1670,24,76,569,76,7.93,False,False,False,2017-09-02,2025-06-07,https://example.com/profile_7.jpg,True
ig_0008,shawn_flowers,Shawn Flowers,Shawn,Flowers,💫 technology | Boston vibes | Creating content daily,"Boston, Tunisia",,Technology,22261,918,1351,4,77,1462,173,6.57,False,False,False,2018-10-25,2025-06-01,https://example.com/profile_8.jpg,True
ig_0009,frances_jones,Frances Jones,Frances,Jones,✨ business enthusiast | Chicago based | Living my best life,"Chicago, Reunion",,Business,33492,2606,1493,188,54,2656,194,7.93,False,False,True,2021-08-12,2025-05-31,https://example.com/profile_9.jpg,True
ig_0010,daniellehawkins48,Danielle Hawkins,Danielle,Hawkins,📍 New York | business lover | Sharing my journey,"New York, Saint Lucia",http://alvarado-davidson.com/,Business,19938,1027,360,153,56,848,96,4.25,False,False,False,2023-10-28,2025-06-01,https://example.com/profile_10.jpg,True
ig_0011,richardjones,Richard Jones,Richard,Jones,📍 Chicago | business lover | Sharing my journey,"Chicago, New Zealand",http://www.michael.info/,Business,34635,1899,1377,84,43,2381,297,6.87,False,False,False,2024-02-16,2025-05-26,https://example.com/profile_11.jpg,True
