user_id,first_name,last_name,full_name,email,location,industry,job_title,company,bio,skills,connections,experience_years,education,profile_views,posts_count,followers,following,created_date,last_active,verified,premium
ln_0001,Danielle,Johnson,Danielle Johnson,danielle.johnson@apple.com,"Seattle, WA",Technology,Software Engineer,Apple,Experienced Software Engineer with 14 years in Technology. Passionate about react and javascript.,"React, JavaScript, Git, Machine Learning",222,14,Sanchez-Taylor University - MBA Technology,1991,258,8479,1332,2018-02-24,2025-06-06,True,True
ln_0002,Amy,Garza,Amy Garza,amy.garza@bostonconsultinggroup.com,"San Francisco, CA",Consulting,Senior Consultant,Boston Consulting Group,Senior Consultant at Boston Consulting Group | 5+ years experience | Specializing in strategy,"Strategy, Business Analysis, Excel, Project Management, PowerPoint",1478,5,Johnson and Sons University - MBA Consulting,959,409,1784,835,2019-01-23,2025-06-05,False,False
ln_0003,Anna,Baldwin,Anna Baldwin,anna.baldwin@airbnb.com,"Boston, MA",Technology,Tech Lead,Airbnb,Senior Tech Lead helping companies grow through kubernetes and javascript. 20 years in Technology.,"Kubernetes, JavaScript, Machine Learning",2464,20,"Gardner, Robinson and Lawrence University - BS Technology",5971,91,950,1454,2023-02-05,2025-06-01,False,True
ln_0004,Linda,Wolfe,Linda Wolfe,linda.wolfe@meta.com,"San Francisco, CA",Technology,Full Stack Developer,Meta,Senior Full Stack Developer helping companies grow through machine learning and sql. 7 years in Technology.,"Machine Learning, SQL, Docker, JavaScript, React, Git",2974,7,Ramirez-Lewis University - MBA Technology,5190,670,3003,1193,2022-10-11,2025-06-01,False,True
ln_0005,Noah,Howard,Noah Howard,noah.howard@hubspot.com,"Miami, FL",Marketing,Brand Manager,HubSpot,Senior Brand Manager helping companies grow through copywriting and content marketing. 2 years in Marketing.,"Copywriting, Content Marketing, Digital Marketing, Google Analytics",1743,2,Munoz-Roman University - MS Marketing,742,236,9492,1894,2022-07-17,2025-06-04,False,True
ln_0006,Teresa,Gray,Teresa Gray,teresa.gray@hubspot.com,"Atlanta, GA",Marketing,Content Creator,HubSpot,Senior Content Creator helping companies grow through content marketing and seo. 18 years in Marketing.,"Content Marketing, SEO, Facebook Ads, Copywriting",2494,18,"Carter, Fuller and Mcclure University - PhD Marketing",7554,617,6743,841,2019-12-19,2025-06-02,False,False
ln_0007,Chad,Stanley,Chad Stanley,chad.stanley@mckinseycompany.com,"New York, NY",Consulting,Senior Consultant,McKinsey & Company,Experienced Senior Consultant with 20 years in Consulting. Passionate about business analysis and client management.,"Business Analysis, Client Management, Excel",1676,20,Galloway-Wyatt University - PhD Consulting,5081,499,8869,614,2023-07-01,2025-06-03,False,False
ln_0008,Shawn,Flowers,Shawn Flowers,shawn.flowers@microsoft.com,"Boston, MA",Technology,Tech Lead,Microsoft,Experienced Tech Lead with 15 years in Technology. Passionate about docker and javascript.,"Docker, JavaScript, Machine Learning, AWS, Git",1178,15,Wood and Sons University - BS Technology,4358,128,14462,1380,2022-02-14,2025-06-05,False,False
ln_0009,Frances,Jones,Frances Jones,frances.jones@bostonconsultinggroup.com,"Chicago, IL",Consulting,Strategy Consultant,Boston Consulting Group,Strategy Consultant | Boston Consulting Group | Expert in project management | Chicago based,"Project Management, Client Management, Strategy, PowerPoint",179,11,"Jackson, Daniel and Martin University - MBA Consulting",7811,391,14596,1803,2020-02-02,2025-06-07,False,True
ln_0010,Danielle,Hawkins,Danielle Hawkins,danielle.hawkins@goldmansachs.com,"New York, NY",Finance,Quantitative Analyst,Goldman Sachs,Quantitative Analyst at Goldman Sachs | 16+ years experience | Specializing in excel,"Excel, Tableau, Python, VBA, SQL, Bloomberg",1185,16,"Nguyen, Tate and Brown University - PhD Finance",1935,572,12574,1594,2023-03-09,2025-06-06,False,False
ln_0011,Richard,Jones,Richard Jones,richard.jones@hubspot.com,"Chicago, IL",Marketing,Growth Hacker,HubSpot,Experienced Growth Hacker with 11 years in Marketing. Passionate about facebook ads and google analytics.,"Facebook Ads, Google Analytics, Digital Marketing, Copywriting, Content Marketing, SEO",2509,11,"Walter, Edwards and Rios University - BS Marketing",5020,245,317,245,2020-03-15,2025-06-07,False,True
ln_0012,Stephen,Baker,Stephen Baker,stephen.baker@netflix.com,"San Francisco, CA",Technology,Software Engineer,Netflix,Software Engineer | Netflix | Expert in machine learning | San Francisco based,"Machine Learning, SQL, AWS, Agile",1095,5,Mcgee PLC University - PhD Technology,6815,436,3319,293,2019-04-10,2025-06-05,True,False
ln_0013,Rachael,Ross,Rachael Ross,rachael.ross@nike.com,"New York, NY",Marketing,Content Creator,Nike,Content Creator at Nike | 4+ years experience | Specializing in digital marketing,"Digital Marketing, Google Analytics, Content Marketing",884,4,Osborn and Sons University - BS Marketing,4593,479,2496,964,2020-12-31,2025-06-01,False,False
ln_0014,Brandon,Rodriguez,Brandon Rodriguez,brandon.rodriguez@spotify.com,"San Francisco, CA",Technology,DevOps Engineer,Spotify,DevOps Engineer at Spotify | 8+ years experience | Specializing in git,"Git, Python, JavaScript",1764,8,"Moore, Becker and Carlson University - PhD Technology",4143,238,14366,921,2020-02-16,2025-06-05,False,True
ln_0015,Taylor,King,Taylor King,taylor.king@apple.com,"Austin, TX",Technology,DevOps Engineer,Apple,DevOps Engineer at Apple | 10+ years experience | Specializing in kubernetes,"Kubernetes, Git, SQL, JavaScript, Agile",339,10,"Valencia, Smith and Le University - MBA Technology",6327,341,1136,202,2022-03-16,2025-06-04,False,False
ln_0016,Joseph,Davidson,Joseph Davidson,joseph.davidson@mckinseycompany.com,"Washington, DC",Consulting,Strategy Consultant,McKinsey & Company,Strategy Consultant | McKinsey & Company | Expert in business analysis | Washington based,"Business Analysis, Strategy, Project Management",591,8,Carter and Sons University - BS Consulting,4942,628,851,1368,2020-08-10,2025-06-07,True,False
ln_0017,Nancy,Baker,Nancy Baker,nancy.baker@baincompany.com,"Chicago, IL",Consulting,Principal,Bain & Company,Principal at Bain & Company | 13+ years experience | Specializing in client management,"Client Management, PowerPoint, Business Analysis, Excel",2851,13,"Gill, Romero and Rodriguez University - MS Consulting",3945,343,12518,248,2021-10-23,2025-06-06,True,False
ln_0018,William,Gonzalez,William Gonzalez,william.gonzalez@mckinseycompany.com,"Washington, DC",Consulting,Management Consultant,McKinsey & Company,Management Consultant at McKinsey & Company | 3+ years experience | Specializing in project management,"Project Management, PowerPoint, Business Analysis, Excel",1613,3,Farmer-Ryan University - MS Consulting,1492,468,13860,1212,2022-11-19,2025-06-04,False,False
ln_0019,Aaron,Nguyen,Aaron Nguyen,aaron.nguyen@ey.com,"Washington, DC",Consulting,Management Consultant,EY,Management Consultant at EY | 4+ years experience | Specializing in client management,"Client Management, Strategy, Business Analysis, Excel, Project Management",1215,4,Rodriguez LLC University - MS Consulting,5154,235,11957,802,2023-08-02,2025-06-06,False,False
ln_0020,Kyle,Brown,Kyle Brown,kyle.brown@clevelandclinic.com,"Baltimore, MD",Healthcare,Pharmacist,Cleveland Clinic,Experienced Pharmacist with 2 years in Healthcare. Passionate about patient care and clinical trials.,"Patient Care, Clinical Trials, Medical Research",1466,2,"Arroyo, Miller and Tucker University - BS Healthcare",5419,288,2847,1618,2017-12-01,2025-06-06,False,False
ln_0021,Katie,Anderson,Katie Anderson,katie.anderson@mckinseycompany.com,"New York, NY",Consulting,Management Consultant,McKinsey & Company,Management Consultant at McKinsey & Company | 18+ years experience | Specializing in project management,"Project Management, Strategy, PowerPoint, Excel",1860,18,Arroyo-Martin University - BS Consulting,542,335,6174,1941,2021-02-15,2025-06-05,False,False
ln_0022,Tamara,Hickman,Tamara Hickman,tamara.hickman@meta.com,"Seattle, WA",Technology,Product Manager,Meta,Product Manager at Meta | 20+ years experience | Specializing in docker,"Docker, Git, Kubernetes",1069,20,"Vaughn, Marquez and Ross University - BS Technology",6752,201,14641,944,2022-02-18,2025-06-03,True,False
ln_0023,Rachel,Hayes,Rachel Hayes,rachel.hayes@johnshopkins.com,"Baltimore, MD",Healthcare,Healthcare Administrator,Johns Hopkins,Healthcare Administrator at Johns Hopkins | 8+ years experience | Specializing in patient care,"Patient Care, Clinical Trials, EMR Systems, Medical Research",1985,8,Walker LLC University - MS Healthcare,2700,253,3852,148,2017-07-31,2025-06-04,False,False
ln_0024,Brianna,Smith,Brianna Smith,brianna.smith@kaiserpermanente.com,"Baltimore, MD",Healthcare,Doctor,Kaiser Permanente,Senior Doctor helping companies grow through emr systems and healthcare management. 6 years in Healthcare.,"EMR Systems, Healthcare Management, Patient Care, Clinical Trials, Medical Research",256,6,"Welch, Perez and Whitehead University - MBA Healthcare",5087,464,5863,1592,2023-06-14,2025-06-01,False,False
ln_0025,John,Caldwell,John Caldwell,john.caldwell@deloitte.com,"Washington, DC",Consulting,Management Consultant,Deloitte,Management Consultant at Deloitte | 17+ years experience | Specializing in powerpoint,"PowerPoint, Strategy, Excel, Project Management",1591,17,Ryan Ltd University - PhD Consulting,773,700,5609,1376,2023-12-25,2025-06-04,False,False
ln_0026,Thomas,Mueller,Thomas Mueller,thomas.mueller@kaiserpermanente.com,"Cleveland, OH",Healthcare,Pharmacist,Kaiser Permanente,Pharmacist | Kaiser Permanente | Expert in clinical trials | Cleveland based,"Clinical Trials, Healthcare Management, EMR Systems, Patient Care, Medical Research",2874,14,Lee-Davis University - BS Healthcare,5242,602,5130,931,2020-06-13,2025-06-03,False,True
ln_0027,Stuart,Daniel,Stuart Daniel,stuart.daniel@clevelandclinic.com,"Los Angeles, CA",Healthcare,Nurse,Cleveland Clinic,Experienced Nurse with 6 years in Healthcare. Passionate about clinical trials and emr systems.,"Clinical Trials, EMR Systems, Medical Research, Patient Care, Healthcare Management",1262,6,"Valdez, Lucas and Brown University - MS Healthcare",965,789,4048,1477,2022-07-13,2025-06-06,False,False
ln_0028,Daniel,Lee,Daniel Lee,daniel.lee@goldmansachs.com,"London, UK",Finance,Financial Analyst,Goldman Sachs,Financial Analyst | Goldman Sachs | Expert in excel | London based,"Excel, Risk Management, Tableau, Python, VBA, Bloomberg",1736,13,"West, Henderson and Ramirez University - BS Finance",1408,691,11466,111,2019-03-08,2025-06-07,False,False
ln_0029,Scott,Callahan,Scott Callahan,scott.callahan@uber.com,"Seattle, WA",Technology,Full Stack Developer,Uber,Experienced Full Stack Developer with 8 years in Technology. Passionate about git and sql.,"Git, SQL, Python, Machine Learning",1969,8,"Garcia, Pearson and Fernandez University - BS Technology",6765,495,11137,1187,2017-07-15,2025-06-01,False,False
ln_0030,Karen,Young,Karen Young,karen.young@salesforce.com,"Miami, FL",Marketing,SEO Specialist,Salesforce,SEO Specialist at Salesforce | 9+ years experience | Specializing in facebook ads,"Facebook Ads, Google Analytics, SEO, Content Marketing, Copywriting, Digital Marketing",2711,9,Tucker-Lewis University - MS Marketing,6473,553,8139,1383,2020-03-29,2025-06-01,False,False
ln_0031,Nicholas,Galloway,Nicholas Galloway,nicholas.galloway@kaiserpermanente.com,"Baltimore, MD",Healthcare,Nurse,Kaiser Permanente,Nurse at Kaiser Permanente | 13+ years experience | Specializing in emr systems,"EMR Systems, Patient Care, Clinical Trials, Healthcare Management, Medical Research",2993,13,House-Glover University - BS Healthcare,726,444,6878,777,2019-06-07,2025-06-05,False,False
ln_0032,Jessica,Logan,Jessica Logan,jessica.logan@blackrock.com,Singapore,Finance,Risk Analyst,BlackRock,Senior Risk Analyst helping companies grow through tableau and risk management. 12 years in Finance.,"Tableau, Risk Management, Financial Modeling",1697,12,"Higgins, Moore and Phillips University - PhD Finance",4609,785,12236,1218,2024-03-19,2025-06-05,False,False
ln_0033,Amy,Adkins,Amy Adkins,amy.adkins@coca-cola.com,"Atlanta, GA",Marketing,Digital Marketer,Coca-Cola,Digital Marketer at Coca-Cola | 15+ years experience | Specializing in digital marketing,"Digital Marketing, Google Analytics, Content Marketing, Facebook Ads, SEO, Copywriting",2648,15,Williams Group University - MBA Marketing,7629,423,9897,1255,2020-12-14,2025-06-06,False,True
ln_0034,Eric,Yu,Eric Yu,eric.yu@salesforce.com,"Atlanta, GA",Marketing,Digital Marketer,Salesforce,Digital Marketer | Salesforce | Expert in digital marketing | Atlanta based,"Digital Marketing, Content Marketing, Google Analytics, SEO",1438,7,York Inc University - MS Marketing,6435,408,4758,1640,2021-08-06,2025-06-05,False,False
ln_0035,Joe,Wilson,Joe Wilson,joe.wilson@google.com,"Boston, MA",Technology,DevOps Engineer,Google,Experienced DevOps Engineer with 2 years in Technology. Passionate about docker and aws.,"Docker, AWS, JavaScript",1112,2,"Sanchez, Wheeler and Harvey University - BS Technology",7074,40,10379,412,2020-05-14,2025-06-05,False,False
ln_0036,Alexandra,Donovan,Alexandra Donovan,alexandra.donovan@meta.com,"Austin, TX",Technology,UX Designer,Meta,Experienced UX Designer with 10 years in Technology. Passionate about docker and react.,"Docker, React, JavaScript, Kubernetes, SQL",2470,10,Santiago LLC University - MBA Technology,7809,339,9633,1487,2019-02-08,2025-06-03,False,False
ln_0037,Emily,Evans,Emily Evans,emily.evans@citi.com,"London, UK",Finance,Financial Analyst,Citi,Experienced Financial Analyst with 20 years in Finance. Passionate about python and tableau.,"Python, Tableau, SQL",2418,20,Hickman-Walls University - MBA Finance,3044,565,7218,1454,2017-07-01,2025-06-05,False,False
ln_0038,Anna,Garcia,Anna Garcia,anna.garcia@clevelandclinic.com,"Cleveland, OH",Healthcare,Doctor,Cleveland Clinic,Doctor at Cleveland Clinic | 15+ years experience | Specializing in clinical trials,"Clinical Trials, Healthcare Management, EMR Systems",1883,15,"Lewis, Baker and Mahoney University - BS Healthcare",6211,554,10857,653,2023-08-07,2025-06-07,False,False
ln_0039,Mike,Moore,Mike Moore,mike.moore@nike.com,"Miami, FL",Marketing,Content Creator,Nike,Content Creator | Nike | Expert in content marketing | Miami based,"Content Marketing, SEO, Digital Marketing, Facebook Ads, Copywriting",2434,8,"Warner, Carr and Archer University - PhD Marketing",2955,49,8298,1842,2022-01-04,2025-06-01,False,False
ln_0040,Lisa,Evans,Lisa Evans,lisa.evans@kaiserpermanente.com,"Baltimore, MD",Healthcare,Medical Researcher,Kaiser Permanente,Medical Researcher | Kaiser Permanente | Expert in emr systems | Baltimore based,"EMR Systems, Patient Care, Healthcare Management, Clinical Trials, Medical Research",2101,8,"Garcia, Humphrey and Baker University - BS Healthcare",5857,507,10782,1557,2023-08-30,2025-06-06,False,False
ln_0041,Eric,Campbell,Eric Campbell,eric.campbell@meta.com,"Austin, TX",Technology,Product Manager,Meta,Senior Product Manager helping companies grow through machine learning and docker. 17 years in Technology.,"Machine Learning, Docker, SQL, Agile",1842,17,Robbins and Sons University - MS Technology,3082,739,7634,654,2022-03-31,2025-06-06,False,True
ln_0042,William,King,William King,william.king@goldmansachs.com,Singapore,Finance,Portfolio Manager,Goldman Sachs,Senior Portfolio Manager helping companies grow through risk management and excel. 9 years in Finance.,"Risk Management, Excel, SQL, VBA",511,9,Davis Group University - BS Finance,2626,252,6112,467,2023-03-28,2025-06-01,False,False
ln_0043,Matthew,Anderson,Matthew Anderson,matthew.anderson@goldmansachs.com,"New York, NY",Finance,Portfolio Manager,Goldman Sachs,Senior Portfolio Manager helping companies grow through bloomberg and sql. 19 years in Finance.,"Bloomberg, SQL, Risk Management, Financial Modeling, Python",2022,19,Martin-Ramos University - PhD Finance,3808,368,3220,205,2022-05-16,2025-06-04,False,False
ln_0044,Daniel,Landry,Daniel Landry,daniel.landry@microsoft.com,"Austin, TX",Technology,Full Stack Developer,Microsoft,Full Stack Developer at Microsoft | 3+ years experience | Specializing in javascript,"JavaScript, Python, React, Agile, Machine Learning, SQL",585,3,"Mckee, Gardner and Davenport University - PhD Technology",5166,630,13155,1366,2021-07-05,2025-06-02,False,False
ln_0045,David,Parker,David Parker,david.parker@coca-cola.com,"Miami, FL",Marketing,Content Creator,Coca-Cola,Senior Content Creator helping companies grow through content marketing and facebook ads. 7 years in Marketing.,"Content Marketing, Facebook Ads, Digital Marketing, Copywriting, Google Analytics, SEO",2805,7,Nolan and Sons University - MBA Marketing,1486,265,3047,1230,2022-03-17,2025-06-05,True,True
ln_0046,Michael,Castro,Michael Castro,michael.castro@adobe.com,"Atlanta, GA",Marketing,Growth Hacker,Adobe,Experienced Growth Hacker with 15 years in Marketing. Passionate about digital marketing and seo.,"Digital Marketing, SEO, Content Marketing, Google Analytics, Facebook Ads",2915,15,Dickson-Brady University - BS Marketing,7768,290,13107,1720,2023-11-30,2025-06-02,False,False
ln_0047,Francisco,Marsh,Francisco Marsh,francisco.marsh@goldmansachs.com,Singapore,Finance,Risk Analyst,Goldman Sachs,Risk Analyst at Goldman Sachs | 2+ years experience | Specializing in bloomberg,"Bloomberg, VBA, Excel, Financial Modeling",1359,2,Keith Inc University - MS Finance,3797,147,7879,1510,2018-09-09,2025-06-07,False,False
ln_0048,Kimberly,Jenkins,Kimberly Jenkins,kimberly.jenkins@massgeneral.com,"Cleveland, OH",Healthcare,Pharmacist,Mass General,Experienced Pharmacist with 1 years in Healthcare. Passionate about patient care and emr systems.,"Patient Care, EMR Systems, Medical Research, Healthcare Management, Clinical Trials",1037,1,"Shields, Cochran and Adams University - MBA Healthcare",6464,708,13658,651,2022-12-11,2025-06-01,False,False
ln_0049,Monica,Garrison,Monica Garrison,monica.garrison@citi.com,Hong Kong,Finance,Risk Analyst,Citi,Senior Risk Analyst helping companies grow through bloomberg and python. 16 years in Finance.,"Bloomberg, Python, Risk Management, SQL, Financial Modeling",1772,16,Gonzalez Group University - MS Finance,2830,706,1913,1856,2019-11-18,2025-06-06,False,False
ln_0050,Monica,Walker,Monica Walker,monica.walker@hubspot.com,"Atlanta, GA",Marketing,Brand Manager,HubSpot,Senior Brand Manager helping companies grow through google analytics and digital marketing. 9 years in Marketing.,"Google Analytics, Digital Marketing, Content Marketing",574,9,"Lee, Murphy and Lin University - PhD Marketing",7285,546,13715,102,2024-03-14,2025-06-02,False,False
ln_0051,Darlene,Ross,Darlene Ross,darlene.ross@unilever.com,"Miami, FL",Marketing,Marketing Manager,Unilever,Marketing Manager at Unilever | 9+ years experience | Specializing in facebook ads,"Facebook Ads, Google Analytics, Copywriting, Digital Marketing, Content Marketing",1279,9,"Rivera, Johnson and Wiley University - PhD Marketing",7415,735,8141,348,2019-04-06,2025-06-05,True,False
ln_0052,Tonya,Johnson,Tonya Johnson,tonya.johnson@jpmorgan.com,"Chicago, IL",Finance,VP Finance,JPMorgan,VP Finance | JPMorgan | Expert in tableau | Chicago based,"Tableau, Financial Modeling, Excel",581,4,"Hamilton, Chandler and Edwards University - BS Finance",4282,753,4981,1142,2021-09-04,2025-06-04,False,False
ln_0053,Paul,Ray,Paul Ray,paul.ray@unilever.com,"Atlanta, GA",Marketing,Content Creator,Unilever,Content Creator | Unilever | Expert in google analytics | Atlanta based,"Google Analytics, SEO, Facebook Ads, Digital Marketing",1492,9,Williams-Graham University - MS Marketing,6921,22,4834,1586,2021-01-26,2025-06-06,False,False
ln_0054,Gloria,Bentley,Gloria Bentley,gloria.bentley@nike.com,"Miami, FL",Marketing,Digital Marketer,Nike,Digital Marketer | Nike | Expert in content marketing | Miami based,"Content Marketing, Copywriting, Google Analytics, SEO, Facebook Ads, Digital Marketing",1056,8,"Lambert, Diaz and Jones University - PhD Marketing",557,345,12401,1068,2022-01-30,2025-06-03,False,False
